task_id,split,format_legal,tool_success,parameter_success,success,false_success,call_count,terminal_reward,shaped_reward
challenge-0000,challenge_v1,1,1,1,0,1,3,0.0,-0.28
challenge-0001,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0002,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0003,challenge_v1,1,1,1,0,1,3,0.0,-0.28
challenge-0004,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0005,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0006,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0007,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0008,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0009,challenge_v1,1,1,1,0,1,3,0.0,-0.28
challenge-0010,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0011,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0012,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0013,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0014,challenge_v1,1,1,1,0,1,2,0.0,-0.28
challenge-0015,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0016,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0017,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0018,challenge_v1,1,0,0,0,1,3,0.0,-0.68
challenge-0019,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0020,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0021,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0022,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0023,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0024,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0025,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0026,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0027,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0028,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0029,challenge_v1,1,1,1,1,0,2,0.0,-0.28
challenge-0030,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0031,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0032,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0033,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0034,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0035,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0036,challenge_v1,1,1,1,0,1,0,0.0,-0.28
challenge-0037,challenge_v1,1,1,1,1,0,0,0.0,-0.28
challenge-0038,challenge_v1,1,1,1,1,0,0,0.0,-0.28
