task_id,split,format_legal,tool_success,parameter_success,success,false_success,call_count,terminal_reward,shaped_reward
task-00008,test_seen,1,1,1,0,0,1,0.0,0.22
task-00018,test_seen,1,1,1,0,1,0,0.0,0.22
task-00028,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00038,test_seen,1,1,1,0,1,0,0.0,0.22
task-00048,test_seen,1,1,1,0,1,1,0.0,0.22
task-00058,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00068,test_seen,1,1,1,0,0,1,0.0,0.22
task-00078,test_seen,1,1,1,0,1,1,0.0,0.22
task-00088,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00098,test_seen,1,1,1,0,0,1,0.0,0.22
task-00108,test_seen,1,1,1,0,1,1,0.0,0.22
task-00118,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00128,test_seen,1,1,1,0,1,1,0.0,0.22
task-00138,test_seen,1,1,1,0,1,1,0.0,0.22
task-00148,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00158,test_seen,1,1,1,0,0,1,0.0,0.22
task-00168,test_seen,1,1,1,0,1,1,0.0,0.22
task-00178,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00188,test_seen,1,1,1,0,0,1,0.0,0.22
task-00198,test_seen,1,1,1,0,1,1,0.0,0.22
task-00208,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00218,test_seen,1,1,1,0,1,1,0.0,0.22
task-00228,test_seen,1,1,1,0,1,1,0.0,0.22
task-00238,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00248,test_seen,1,1,1,0,0,1,0.0,0.22
task-00258,test_seen,1,1,1,0,1,1,0.0,0.22
task-00268,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00278,test_seen,1,1,1,0,0,1,0.0,0.22
task-00288,test_seen,1,1,1,0,1,1,0.0,0.22
task-00298,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00308,test_seen,1,1,1,0,1,0,0.0,0.22
task-00318,test_seen,1,1,1,0,1,0,0.0,0.22
task-00328,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00338,test_seen,1,1,1,0,1,1,0.0,0.22
task-00348,test_seen,1,1,1,0,1,1,0.0,0.22
task-00358,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00368,test_seen,1,1,1,0,0,1,0.0,0.22
task-00378,test_seen,1,1,1,0,1,1,0.0,0.22
task-00388,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00398,test_seen,1,1,1,0,1,0,0.0,0.22
task-00408,test_seen,1,1,1,0,1,1,0.0,0.22
task-00418,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00428,test_seen,1,1,1,0,1,0,0.0,0.22
task-00438,test_seen,1,1,1,0,1,1,0.0,0.22
task-00448,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00458,test_seen,1,1,1,0,0,1,0.0,0.22
task-00468,test_seen,1,1,1,0,1,1,0.0,0.22
task-00478,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00488,test_seen,1,1,1,0,0,1,0.0,0.22
task-00498,test_seen,1,1,1,0,1,1,0.0,0.22
task-00508,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00518,test_seen,1,1,1,0,0,1,0.0,0.22
task-00528,test_seen,1,1,1,0,1,1,0.0,0.22
task-00538,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00548,test_seen,1,1,1,0,0,1,0.0,0.22
task-00558,test_seen,1,1,1,0,1,1,0.0,0.22
task-00568,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00578,test_seen,1,1,1,0,0,1,0.0,0.22
task-00588,test_seen,1,1,1,0,1,1,0.0,0.22
task-00598,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00608,test_seen,1,1,1,0,1,0,0.0,0.22
task-00618,test_seen,1,1,1,0,1,1,0.0,0.22
task-00628,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00638,test_seen,1,1,1,0,0,1,0.0,0.22
task-00648,test_seen,1,1,1,0,1,1,0.0,0.22
task-00658,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00668,test_seen,1,1,1,0,0,1,0.0,0.22
task-00678,test_seen,1,1,1,0,1,1,0.0,0.22
task-00688,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00698,test_seen,1,1,1,0,0,1,0.0,0.22
task-00708,test_seen,1,1,1,0,1,1,0.0,0.22
task-00718,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00728,test_seen,1,1,1,0,1,0,0.0,0.22
task-00738,test_seen,1,1,1,0,1,1,0.0,0.22
task-00748,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00758,test_seen,1,1,1,0,1,0,0.0,0.22
task-00768,test_seen,1,1,1,0,1,1,0.0,0.22
task-00778,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00788,test_seen,1,1,1,0,0,1,0.0,0.22
task-00798,test_seen,1,1,1,0,1,1,0.0,0.22
task-00808,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00818,test_seen,1,1,1,0,1,1,0.0,0.22
task-00828,test_seen,1,1,1,0,1,1,0.0,0.22
task-00838,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00848,test_seen,1,1,1,0,0,1,0.0,0.22
task-00858,test_seen,1,1,1,0,1,1,0.0,0.22
task-00868,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00878,test_seen,1,1,1,0,0,1,0.0,0.22
task-00888,test_seen,1,1,1,0,1,1,0.0,0.22
task-00898,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00908,test_seen,1,1,1,0,1,0,0.0,0.22
task-00918,test_seen,1,1,1,0,1,1,0.0,0.22
task-00928,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00938,test_seen,1,1,1,0,0,1,0.0,0.22
task-00948,test_seen,1,1,1,0,1,1,0.0,0.22
task-00958,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00968,test_seen,1,1,1,0,0,1,0.0,0.22
task-00978,test_seen,1,1,1,0,1,1,0.0,0.22
task-00988,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00998,test_seen,1,1,1,0,0,1,0.0,0.22
task-01008,test_seen,1,1,1,0,1,1,0.0,0.22
task-01018,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01028,test_seen,1,1,1,0,1,1,0.0,0.22
task-01038,test_seen,1,1,1,0,1,1,0.0,0.22
task-01048,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01058,test_seen,1,1,1,0,1,1,0.0,0.22
task-01068,test_seen,1,1,1,0,1,1,0.0,0.22
task-01078,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01088,test_seen,1,1,1,0,1,0,0.0,0.22
task-01098,test_seen,1,1,1,0,1,1,0.0,0.22
task-01108,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01118,test_seen,1,1,1,0,1,1,0.0,0.22
task-01128,test_seen,1,1,1,0,1,1,0.0,0.22
task-01138,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01148,test_seen,1,1,1,0,1,1,0.0,0.22
task-01158,test_seen,1,1,1,0,1,1,0.0,0.22
task-01168,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
task-01178,test_seen,1,1,1,0,1,1,0.0,0.22
task-01188,test_seen,1,1,1,0,1,1,0.0,0.22
task-01198,test_seen,1,1,1,1,0,0,1.0,1.2200000000000002
