task_id,split,format_legal,tool_success,parameter_success,success,false_success,call_count,terminal_reward,shaped_reward
task-00009,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00019,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00029,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00039,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00049,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00059,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00069,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00079,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00089,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00099,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00109,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00119,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00129,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00139,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00149,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00159,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00169,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00179,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00189,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00199,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00209,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00219,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00229,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00239,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00249,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00259,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00269,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00279,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00289,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00299,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00309,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00319,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00329,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00339,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00349,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00359,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00369,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00379,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00389,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00399,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00409,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00419,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00429,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00439,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00449,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00459,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00469,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00479,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00489,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00499,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00509,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00519,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00529,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00539,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00549,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00559,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00569,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00579,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00589,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00599,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00609,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00619,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00629,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00639,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00649,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00659,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00669,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00679,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00689,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00699,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00709,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00719,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00729,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00739,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
task-00749,test_unseen,1,1,1,1,0,2,1.0,1.2200000000000002
task-00759,test_unseen,1,1,1,1,0,0,1.0,1.2200000000000002
task-00769,test_unseen,1,1,1,1,0,1,1.0,1.2200000000000002
